Date,SP500,HANGSENG,KOSPI
2012-01-17,1293.6700439453125,19627.75,1892.739990234375
2012-01-18,1308.0400390625,19686.919921875,1892.3900146484375
2012-01-19,1314.5,19942.94921875,1914.969970703125
2012-01-20,1315.3800048828125,20110.369140625,1949.8900146484375
2012-01-26,1318.4300537109375,20439.140625,1957.1800537109375
2012-01-27,1316.3299560546875,20501.669921875,1964.8299560546875
2012-01-30,1313.010009765625,20160.41015625,1940.550048828125
2012-01-31,1312.4100341796875,20390.490234375,1955.7900390625
2012-02-01,1324.0899658203125,20333.369140625,1959.239990234375
2012-02-02,1325.5400390625,20739.44921875,1984.300048828125
2012-02-03,1344.9000244140625,20756.98046875,1972.3399658203125
2012-02-06,1344.3299560546875,20709.939453125,1973.1300048828125
2012-02-07,1347.050048828125,20699.189453125,1981.5899658203125
2012-02-08,1349.9599609375,21018.4609375,2003.72998046875
2012-02-09,1351.949951171875,21010.009765625,2014.6199951171875
2012-02-10,1342.6400146484375,20783.859375,1993.7099609375
2012-02-13,1351.77001953125,20887.400390625,2005.739990234375
2012-02-14,1350.5,20917.830078125,2002.6400146484375
2012-02-15,1343.22998046875,21365.23046875,2025.3199462890625
2012-02-16,1358.0400390625,21277.279296875,1997.449951171875
2012-02-17,1361.22998046875,21491.619140625,2023.469970703125
2012-02-21,1362.2099609375,21478.720703125,2024.239990234375
2012-02-22,1357.6600341796875,21549.279296875,2028.6500244140625
2012-02-23,1363.4599609375,21380.990234375,2007.800048828125
2012-02-24,1365.739990234375,21406.859375,2019.8900146484375
2012-02-27,1367.5899658203125,21217.859375,1991.1600341796875
2012-02-28,1372.1800537109375,21568.73046875,2003.68994140625
2012-02-29,1365.6800537109375,21680.080078125,2030.25
2012-03-02,1369.6300048828125,21562.259765625,2034.6300048828125
2012-03-05,1364.3299560546875,21265.310546875,2016.06005859375
2012-03-06,1343.3599853515625,20806.25,2000.3599853515625
2012-03-07,1352.6300048828125,20627.779296875,1982.1500244140625
2012-03-08,1365.9100341796875,20900.73046875,2000.760009765625
2012-03-09,1370.8699951171875,21086.0,2018.300048828125
2012-03-12,1371.0899658203125,21134.1796875,2002.5
2012-03-13,1395.949951171875,21339.69921875,2025.0400390625
2012-03-14,1394.280029296875,21307.890625,2045.0799560546875
2012-03-15,1402.5999755859375,21353.529296875,2043.760009765625
2012-03-16,1404.1700439453125,21317.849609375,2034.43994140625
2012-03-20,1405.52001953125,20888.240234375,2042.1500244140625
2012-03-21,1402.8900146484375,20856.630859375,2027.22998046875
